"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"13-FEB-2017 09:30","414",0.000,17.250,81.952,0.000,706.838,0.000,0.000
"13-FEB-2017 09:30","416",0.000,0.000,81.274,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","417",0.000,6.607,75.993,0.000,251.024,0.000,0.000
"13-FEB-2017 09:30","418",0.000,6.607,75.991,0.000,251.016,0.000,0.000
"13-FEB-2017 09:30","419",0.000,95.245,75.674,0.000,3603.791,0.000,0.000
"13-FEB-2017 09:30","42",0.000,0.000,84.406,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","421",0.000,0.000,75.106,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","422",0.000,0.000,75.407,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","424",0.000,0.000,74.972,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","425",0.000,0.000,75.434,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","426",0.000,0.000,74.892,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","427",0.000,38.367,74.961,0.000,1438.024,0.000,0.000
"13-FEB-2017 09:30","428",0.000,0.000,74.750,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","429",0.000,0.000,74.750,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","43",0.000,0.000,84.409,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","430",0.000,8.635,76.688,0.000,331.099,0.000,0.000
"13-FEB-2017 09:30","431",0.000,0.000,76.269,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","432",0.000,0.000,76.269,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","433",0.000,0.000,74.529,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","434",0.000,0.000,74.946,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","435",0.000,7.299,74.946,0.000,273.516,0.000,0.000
"13-FEB-2017 09:30","436",0.000,0.000,74.542,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","437",0.000,0.000,74.542,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","438",0.000,0.000,74.588,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","439",0.000,0.000,74.542,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","44",0.000,0.000,84.305,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","440",0.000,0.000,74.588,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","441",0.000,0.000,74.529,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","442",0.000,0.000,74.588,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","443",0.000,0.000,74.588,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","444",0.000,7.957,74.853,0.000,297.801,0.000,0.000
"13-FEB-2017 09:30","445",0.000,0.000,74.542,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","446",0.000,0.000,74.542,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","447",0.000,0.000,74.542,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","448",0.000,0.000,74.588,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","449",0.000,0.000,74.529,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","45",0.000,3.554,85.391,0.000,151.740,0.000,0.000
"13-FEB-2017 09:30","450",0.000,0.000,74.529,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","451",0.000,0.000,74.529,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","452",0.000,23.426,75.517,0.000,884.536,0.000,0.000
"13-FEB-2017 09:30","454",0.000,0.000,75.180,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","455",0.000,10.577,77.172,0.000,408.123,0.000,0.000
"13-FEB-2017 09:30","456",0.000,0.000,76.858,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","457",0.000,15.597,75.205,0.000,586.489,0.000,0.000
"13-FEB-2017 09:30","458",0.000,15.785,75.073,0.000,592.517,0.000,0.000
"13-FEB-2017 09:30","459",0.000,0.000,74.989,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","46",0.000,51.857,85.334,0.000,2212.575,0.000,0.000
"13-FEB-2017 09:30","460",0.000,0.000,75.002,0.000,0.000,0.000,0.000
"13-FEB-2017 09:30","461",0.000,30.333,77.343,0.000,1173.017,0.000,0.000
